contractId,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
2026092405016843,GCIL,45,42,300,401.3,120390.0,2026-09-24,199580810,9193,Imperial Securities Company Pvt. Ltd.,Sani Securities Company Ltd.,2026-09-24T14:59:59.999278,Ghorahi Cement Industry Limited
2026092403013173,SGHL,34,58,10,486.5,4865.0,2026-09-24,199580809,9345,Vision Securities Pvt. Ltd,Naasa Securities Co. Ltd.,2026-09-24T14:59:59.898073,Sanigad Hydro Limited
2026092405016842,NRN,98,58,30,1415.0,42450.0,2026-09-24,199580807,2898,Trademow Securities Private Limited,Naasa Securities Co. Ltd.,2026-09-24T14:59:59.893462,NRN Infrastructure and Development Limited
2026092405016841,NRN,98,19,50,1415.0,70750.0,2026-09-24,199580804,2898,Trademow Securities Private Limited,Nepal Investment And Securities Trading Private Limited,2026-09-24T14:59:59.893434,NRN Infrastructure and Development Limited
2026092405016840,NRN,98,38,20,1412.0,28240.0,2026-09-24,199580802,2898,Trademow Securities Private Limited,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-09-24T14:59:59.893392,NRN Infrastructure and Development Limited
2026092404012205,BHCL,49,21,20,574.8,11496.0,2026-09-24,199580801,9267,Online Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-09-24T14:59:59.826752,Bikash Hydropower Company Limited
2026092405016839,SONA,101,49,100,434.9,43490.0,2026-09-24,199580798,9216,APPLE SECURITIES PRIVATE LIMITED,Online Securities Pvt. Ltd.,2026-09-24T14:59:59.734913,Sonapur Minerals And Oil Limited
2026092403013172,GUFL,58,69,40,496.4,19856.0,2026-09-24,199580796,204,Naasa Securities Co. Ltd.,INDEX SECURITIES LIMITED,2026-09-24T14:59:59.703208,Gurkhas Finance Ltd.
2026092403013171,GUFL,38,69,110,496.6,54626.0,2026-09-24,199580795,204,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,INDEX SECURITIES LIMITED,2026-09-24T14:59:59.703086,Gurkhas Finance Ltd.
2026092403013170,SGHL,60,42,100,485.0,48500.0,2026-09-24,199580792,9345,Nagarik Stock Dealer ,Sani Securities Company Ltd.,2026-09-24T14:59:59.605099,Sanigad Hydro Limited
2026092403013169,SGHL,57,42,60,485.5,29130.0,2026-09-24,199580791,9345,Aryatara Investment & Securities,Sani Securities Company Ltd.,2026-09-24T14:59:59.604701,Sanigad Hydro Limited
2026092403013168,SGHL,58,42,160,486.0,77760.0,2026-09-24,199580789,9345,Naasa Securities Co. Ltd.,Sani Securities Company Ltd.,2026-09-24T14:59:59.604177,Sanigad Hydro Limited
2026092405016838,NRIC,14,3,10,817.0,8170.0,2026-09-24,199580787,2881,Nepal Stock House (PVT) Ltd.,Arun Securities (PVT) Ltd.,2026-09-24T14:59:59.599577,Nepal Reinsurance Company Limited
2026092405016837,TVCL,42,44,768,305.0,234240.0,2026-09-24,199580784,9218,Sani Securities Company Ltd.,Dynamic Money Managers Securities Pvt. Ltd.,2026-09-24T14:59:59.589063,Trishuli Jal Vidhyut Company Limited 
2026092405016836,RAWA,58,16,10,416.0,4160.0,2026-09-24,199580783,9181,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-09-24T14:59:59.557612,Rawa Energy Development Limited
